"Año";"Periodo";"Agua embalsada"
"2020";"Semana 15";"34.846"
"2020";"Semana 16";"35.856"
"2020";"Semana 17";"36.396"
"2020";"Semana 18";"36.953"
"2020";"Semana 19";"36.945"
"2020";"Semana 20";"37.280"
"2020";"Semana 21";"37.361"
"2020";"Semana 22";"37.120"
"2020";"Semana 23";"36.806"
"2020";"Semana 24";"36.607"
"2020";"Semana 25";"36.192"
"2020";"Semana 26";"35.586"
"2020";"Semana 27";"34.896"
"2020";"Semana 28";"34.244"
"2020";"Semana 29";"33.493"
"2020";"Semana 30";"32.630"
"2020";"Semana 31";"31.591"
"2020";"Semana 32";"30.606"
"2020";"Semana 33";"30.002"
"2020";"Semana 34";"29.111"
"2020";"Semana 35";"28.283"
"2020";"Semana 36";"27.600"
"2020";"Semana 37";"26.892"
"2020";"Semana 38";"26.296"
"2020";"Semana 39";"25.868"
"2020";"Semana 40";"25.845"
"2020";"Semana 41";"25.632"
"2020";"Semana 42";"25.278"
"2020";"Semana 43";"25.935"
"2020";"Semana 44";"26.062"
"2020";"Semana 45";"26.395"
"2020";"Semana 46";"26.504"
"2020";"Semana 47";"26.405"
"2020";"Semana 48";"26.274"
"2020";"Semana 49";"26.235"
"2020";"Semana 50";"27.266"
;;
;;
"Métrica":"Agua embalsada"
"Fuente":"Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente,Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Agua embalsada"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-agua-embalsada-espana/a4f8c28d-52a6-43f7-9ad1-d769e23116d0"
"Titulo":"Evolución del agua embalsada en España"
"Subtitulo":"Evolución del volumen de los embalses en España"
